user_id,fname,lname,user_name,email,password,country,state,city,gender,age,interests,date_joined
1,Jacqueline,Cardenas,Jacqueline Cardenas,jonathanwalker@example.com,$2b$12$DzkGVjPeNzvkOpJ/xGOT2eeSTWj31.hAheR3uSi3nokm4SLUWFvIm,United States Virgin Islands,North Carolina,North Samanthaburgh,Male,35,"Classification, Computer Vision",2023-12-14 07:58:57.367913
2,Megan,Pennington,Megan Pennington,jessica73@example.org,$2b$12$pNzElXA4PRXSOgHhSDQVluhQSWXfPPhTGoF51uAxE8oofBi3rOCnu,Guam,Washington,North Juan,Other,30,AI Ethics,2022-05-11 14:07:45.822544
3,Patrick,Bowers,Patrick Bowers,smitchell@example.com,$2b$12$GiXHU1aPThF/uyeHPi2IV.gbGwFFxMSaYx9hD4vGMx08Ql8bSrGG.,Pakistan,New Hampshire,New Hollyhaven,Female,47,"Data Preprocessing, Ensemble Learning",2020-06-23 05:11:47.828325
4,Jacqueline,Luna,Jacqueline Luna,colin34@example.org,$2b$12$.MM0GH72kygQGIqDYPyO7ulDBjEgeraWQH2yPPbmdck7id0HI61Hy,Netherlands,Oregon,Lake Bryan,Other,21,"Reinforcement Learning, Data Preprocessing",2020-09-20 01:37:53.430300
5,Nicholas,Guzman,Nicholas Guzman,prestonalex@example.org,$2b$12$/GbLn.i5a3nBeD13u6O2HOAtnAbfpK/NJEhAp0PPq.xwH3fFp63jm,Benin,Mississippi,Danielshire,Male,46,"Data Science, PyTorch",2023-12-09 22:27:48.860400
6,Robert,Turner,Robert Turner,nwalker@example.net,$2b$12$y/gKrH8E585N64s86prAweSpH4laUdicb2NsG1b8WTm3OewWvl/F2,Thailand,Wyoming,Choifurt,Other,57,Regression Analysis,2020-03-01 16:15:09.784803
7,Matthew,Fowler,Matthew Fowler,vkelly@example.com,$2b$12$61k0krDuR3t5ti7kREaile2E8qmAKJ05uxxstmPWrGbCP7wMOTtNi,Namibia,Maryland,Mendozaberg,Female,38,"Neural Networks, Supervised Learning, Machine Learning",2022-08-08 06:54:59.635690
8,Deborah,Johnson,Deborah Johnson,melaniestevens@example.net,$2b$12$n6F7PdKA1xu9PRChc7SBM.fKUCfpv2Z/YDXRe5Wz0.f5dJgSzfQfu,Saint Helena,Washington,East Jeanne,Female,35,Data Preprocessing,2023-01-21 18:42:56.561650
9,Alec,Morales,Alec Morales,torreskatherine@example.com,$2b$12$BAAtvBEz34DIAli4j04zLeBGrVAJ0h9Q8a4t8aFq/xdz9sqnWBq9m,Estonia,Massachusetts,East Randy,Male,58,"AI Ethics, Computer Vision, Autoencoders",2020-11-26 23:16:23.490340
10,Gabriel,Dominguez,Gabriel Dominguez,michealatkins@example.net,$2b$12$2a5CZ1DzLDonWtzbvV7hQeM03gQ81gjU3XPmtcrDosJ4zz2NzoFWq,Iceland,South Dakota,West Suzanne,Female,48,"Supervised Learning, Time Series Analysis",2020-11-04 00:36:25.145846
11,Benjamin,Brown,Benjamin Brown,corysmith@example.org,$2b$12$QydvxSfSwTRs/Z33e6FsZect8wBuZeqM866nDW8EouzpHb6g7hg6S,Slovakia (Slovak Republic),South Carolina,Gonzalezburgh,Other,44,"TensorFlow, Ensemble Learning",2021-02-21 11:44:50.706424
12,Howard,Butler,Howard Butler,phillipssara@example.org,$2b$12$H3W6LVMs2MByNQXgT/aJ6.4Fle96XqFIjwFskg4I4Pi9irxfKbvnG,Singapore,Oklahoma,Jameschester,Male,48,Classification,2021-06-15 15:12:16.577984
13,Elizabeth,Pope,Elizabeth Pope,steven60@example.org,$2b$12$qWCrgSwzAABglzM3JG0eSurKp2mMq0oY48SVM5X.j1lyKZl/15C56,Gabon,Oregon,North Paulafort,Other,42,"Machine Learning, Classification",2023-07-30 18:38:49.056346
14,Thomas,Nelson,Thomas Nelson,robertmckinney@example.com,$2b$12$rQeH5tEkVmzJ/TKYM2cZ..2/Yo2hEol2atin3D32tpCODprMNFVZe,Congo,Arkansas,Snyderland,Female,44,"Deep Learning, Clustering, Machine Learning",2023-10-13 14:19:22.418399
15,Troy,Villa,Troy Villa,shannonpowell@example.org,$2b$12$lrc7yKcg7.wTktWJAQq5WO1beVKBBHCwlJR2HzgoaRBIxM2yLc4uy,Argentina,Missouri,North Kevin,Male,54,"Clustering, Supervised Learning",2020-01-11 06:21:19.729442
16,Lisa,Johnson,Lisa Johnson,angela30@example.com,$2b$12$bQqCc0WNXgt8iKlEzyg1TuU4XxE2C6Zr4ThG7wlhdeqVOGFZSJmYu,Singapore,Colorado,West Lisafurt,Other,28,"Data Science, Recommender Systems",2023-02-18 16:44:03.450273
17,Robert,Ochoa,Robert Ochoa,rmiles@example.org,$2b$12$z8.xNG/UEx1ncyYHpVqTmOIEZnTbile7.QXe/.aHn4o5XYGV68Khe,Montserrat,Ohio,Michaelborough,Female,25,"Recommender Systems, Deep Learning",2022-11-04 19:06:00.837251
18,Morgan,Dawson,Morgan Dawson,kellie51@example.com,$2b$12$EZE8FQY2aabAEmS12rOtb.KKTprsHOBFoZ2UtC2/4d5JzqBEr2Vle,China,North Dakota,North Stacyton,Female,25,"Autoencoders, Clustering, Data Preprocessing",2020-10-05 11:23:42.616085
19,Jeanette,Hernandez,Jeanette Hernandez,hwatson@example.org,$2b$12$2O6IOLCotknWojeZzP5yA.cuTZ1wFD5RsSBnxQ4g254CL200xlS0u,Greenland,Georgia,West Lauren,Female,57,"Regression Analysis, Recommender Systems, Natural Language Processing",2022-12-02 08:39:47.388235
20,Tara,Parrish,Tara Parrish,tiffany67@example.org,$2b$12$K1DWt4ofVjsRRxR2eGQdQOcuoWjLo8GKPGlFS0HNZyoaldq2lyH76,Saint Martin,Montana,Lorimouth,Male,20,"Time Series Analysis, Machine Learning, Deep Learning",2022-07-13 18:54:58.000037
